Empresa,Objetos
"JIANGSU GANGHONG ELECTRIC WIRE & POWER CABLE CO., LTD.","['39', '73', '74', '76', '80', '82', '83', '84', '85']"
SEVINCO S.L.,"['74', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '95']"
"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)","['28', '29', '39', '40', '72', '73', '74', '75', '84', '86', '87', '28', '29', '39', '40', '72', '73', '74', '75', '84', '86', '87', '28', '29', '39', '40', '72', '73', '74', '75', '84', '86', '87']"
"EUROTRADE WORLD COMMERCE, S.L.","['4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95']"
"MIESA INGENIERÍA, S.A.","['82', '83', '84', '85', '90', '82', '83', '84', '85', '90']"
"ITAL RECAMBIOS, S.A.","['27', '35', '38', '39', '40', '70', '82', '83', '84', '87', '91', '85', '90', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94']"
"COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L.","['83', '84', '85']"
"SPACUB, S.L.","['29', '34', '39', '40', '41', '42', '43', '44', '45', '48', '51', '52', '53', '54', '56', '58', '59', '60', '61', '62', '63', '64', '65', '71', '73', '82', '83', '84', '90', '96', '29', '34', '39', '40', '41', '42', '43', '44', '45', '48', '51', '52', '53', '54', '56', '58', '59', '60', '61', '62', '63', '64', '65', '71', '73', '82', '83', '84', '90', '96', '29', '34', '39', '40', '41', '42', '43', '44', '45', '48', '51', '52', '53', '54', '56', '58', '59', '60', '61', '62', '63', '64', '65', '71', '73', '82', '83', '84', '90', '96', '29', '34', '39', '40', '41', '44', '45', '48', '52', '53', '54', '56', '58', '59', '61', '62', '63', '64', '71', '73', '82', '83', '84', '96']"
LBS DISTRIBUTION LTD,"['6', '13', '14', '25', '28', '29', '31', '32', '34', '35', '38', '39', '40', '42', '44', '45', '46', '48', '54', '56', '57', '59', '62', '63', '64', '65', '66', '68', '69', '70', '71', '72', '73', '74', '76', '78', '80', '82', '83', '84', '85', '87', '90', '94', '96']"
"MISTRAL CARIBE HOLDING, S.A.","['27', '30', '32', '39', '40', '48', '49', '56', '57', '58', '59', '62', '63', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96', '27', '32', '39', '40', '48', '49', '56', '57', '58', '59', '62', '63', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96', '27', '32', '39', '40', '48', '49', '56', '57', '58', '59', '62', '68', '63', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96', '27', '32', '39', '40', '48', '49', '56', '57', '58', '59', '62', '63', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
