ORDEN,Nombre de la empresa extranjera,Empresa,Nombre limpio viejo,Nombre del agente/representante cubano, , .1,Tipo,Objeto de la resolución,País casa matriz del agente,País casa matriz,Representante en Cuba,Perfil,"Prohibición de importar exportar, mayorismo y distribución mercancías ",Objeto,Anexo 1,Tipo de trámite,Resultado,Causa de denegación,Fecha de la resolución,Firmante nombre,Firmante cargo,Código resolución,No. de Resolución,Fecha Gaceta,Código gaceta,Link sitio gaceta,Link Drive PI,Objetos
1.0,"JIANGSU GANGHONG ELECTRIC WIRE & POWER CABLE CO., LTD.","JIANGSU GANGHONG ELECTRIC WIRE & POWER CABLE CO., LTD.","JIANGSU GANGHONG ELECTRIC WIRE & POWER CABLE CO., LTD.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,China,,,Sí,"Realización de actividades comerciales relacionadas con las mercancÌas que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución. ",Sí,Inscripción,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-76-O6,398/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,"['39', '73', '74', '76', '80', '82', '83', '84', '85']"
2.0,SEVINCO S.L.,"SEVINCO, S.L.",SEVINCO S.L.,,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-77-O6,399/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,
3.0,AGENCIA MARÍTIMA MAPOR S.A.,"AGENCIA MARÍTIMA MAPOR, S.A.",AGENCIA MARÍTIMA MAPOR S.A.,,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Islas Vírgenes Británicas,,,Sí,"Realización de actividades mercantiles como Agente de Buque (de línea regular) para actuar a nombre y por cuenta del armador del buque, en las gestiones relacionadas con las operaciones que le hayan sido encomendadas del buque en puerto, tales como:
• Nombrar agentes consignatarios para la atención de los buques en la naviera representada.
• Asesorar y proteger los intereses de la naviera representada en las actividades propias de la administración y empleo de los buques.
• Supervisar las operaciones del buque y la utilización del tiempo empleado en las mismas.
• Supervisar el cumplimiento de las entregas de los suministros y servicios solicitados por el buque, la aplicación de tarifas y los pagos a realizarse por cuenta del buque.
• Realizar gestión de promoción, reservación y cierre de cargas para los buques de la
naviera representada y preparar la documentación que para ello resulte necesaria.
• Coordinar las operaciones del buque, el embarque y desembarque y la recepción y entrega de las cargas, incluyendo la entrega, el movimiento y la devolución de con- tenedores a embarcadores y receptores que utilicen los servicios de la naviera repre-
sentada.
• Tramitar y realizar, por cuenta del armador o del fletador los cobros de los fletes y demás cargos que correspondan y los pagos incurridos por el buque, según proceda.",No,Renovación,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-78-O6,400/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,
623.0,AGENCIA MARÍTIMA MAPOR S.A.,"AGENCIA MARÍTIMA MAPOR, S.A.",AGENCIA MARÍTIMA MAPOR S.A.,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Islas Vírgenes Británicas,,,Sí,"Realización de actividades mercantiles como Agente de Buque (de línea regular) para actuar a nombre y por cuenta del armador del buque, en las gestiones relacionadas con las opera- ciones que le hayan sido encomendadas del buque en puerto, tales como:
• Nombrar agentes consignatarios para la atención de los buques de la naviera representada. • Asesorar y proteger los intereses de la naviera representada en las actividades propias
de la administración y empleo de los buques.
• Supervisar las operaciones del buque y la utilización del tiempo empleado en las mismas. • Supervisar el cumplimiento de las entregas de los suministros y servicios solicitados
por el buque, la aplicación de tarifas y los pagos a realizare por cuenta del buque.
• Realizar gestiones de promoción, reservación y cierre de cargas para los buques de la
naviera representada y preparar la documentación que para ello resulte necesaria.
• Coordinar las operaciones del buque, el embarque y desembarque y la recepción y entrega de las cargas, incluyendo la entrega, el movimiento y la devolución de contene- dores a embarcadores y receptores que utilicen los servicios de la naviera representada. • Tramitar y realizar, por cuenta del armador o del fletador, los cobros de los fletes y
demás cargos que correspondan y los pagos incurridos por el buque, según proceda.",No,Renovación,Aprobado,N.A.,2017-09-26 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-75-O4,262/2017,2018-02-26 00:00:00,GOC-2018-O-4,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o4_0.rar,https://drive.google.com/file/d/10Ad4Y924B-0Fg0xbff8541TjokXJ-lA2/view?usp=sharing,
1725.0,AGENCIA MARÍTIMA MAPOR S.A.,"AGENCIA MARÍTIMA MAPOR, S.A.",AGENCIA MARÍTIMA MAPOR S.A.,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Islas Vírgenes Británicas,,,Sí,"Realización de actividades mercantiles como Agente de Buque (de línea regular) para actuar a nombre y por cuenta del armador del buque, en las gestiones relacionadas con las operaciones que le hayan sido encomendadas del buque en puerto, tales como:
- Nombrar agentes consignatarios para la atención de los buques de la naviera representada.
- Asesorar y proteger los intereses de la naviera representada en las actividades propias de la administración y empleo de sus buques.
- Supervisar las operaciones del buque y la utilización del tiempo empleado en las mismas.
- Supervisar el cumplimiento de las entregas de los suministros y servicios solicitados por el buque, la aplicación de tarifas y los pagos a realizar por cuenta del buque.
- Realizar gestiones de promoción, reservación y cierre de cargas para los buques de la naviera representada y preparar la documentación que para ello resulte necesaria.
- Coordinar las operaciones del buque, el embarque y desembarque y la recepción y entrega de las cargas, incluyendo la entrega, el movimiento y la devolución de contenedores a embarcadores y receptores que utilicen los servicios de la naviera representada.
- Tramitar y realizar, por cuenta del armador o del fletador, los cobros de los fletes y demás cargos que correspondan y los pagos incurridos por el buque, según proceda.",No,Renovación,Aprobado,N.A.,2014-09-18 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,249 de 2014,2014-10-24 00:00:00,GOC-2014-O-50,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_50_2014.pdf,https://drive.google.com/file/d/1VUkhsv5k5OPmKnnxWLDZ3b-vbyL4OUXl/view?usp=sharing,
2362.0,AGENCIA MARÍTIMA MAPOR S.A.,"AGENCIA MARÍTIMA MAPOR, S.A.",AGENCIA MARÍTIMA MAPOR S.A.,,,,Sucursal de entidad,Respuesta a solicitud de inscripción,,Islas Vírgenes Británicas,,,Sí,"Realización de actividades mercantiles como Agente de Buque (de línea regular) para actuar a nombre y por cuenta del armador del buque, en las gestiones relacionadas con las operaciones que le hayan sido encomendadas del buque en puerto, tales como:
— Nombrar agentes consignatarios para la atención de los buques de la naviera representada.
— Asesorar y proteger los intereses de la naviera representada en las actividades propias de la administración y empleo de sus buques.
— Supervisar las operaciones del buque y la utilización del tiempo empleado en las mismas.
— Supervisar el cumplimiento de las entregas de los suministros y servicios solicitados por el buque, la aplicación de tarifas y los pagos a realizar por cuenta del buque.
— Realizar gestiones de promoción, reservación y cierre de cargas para los buques de la naviera representada y preparar la documentación que para ello resulte necesaria. 
—Coordinar las operaciones del buque, el embarque y desembarque y la recepción y entrega de las cargas, incluyendo la entrega, el movimiento y la devolución de contenedores a embarcadores y receptores que utilicen los servicios de la naviera representada.
— Tramitar y realizar, por cuenta del armador o del fletador, los cobros de los fletes y demás cargos que correspondan y los pagos incurridos por el buque, según proceda.",No,Renovación,Aprobado,N.A.,2011-09-02 00:00:00,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,328 de 2011,2011-10-04 00:00:00,GOC-2011-O-32,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_032_2011.pdf,https://drive.google.com/file/d/1FM-ntS3Qzqxz5K6zdPoLgzMLDyRvtMGn/view?usp=sharing,
4.0,"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)",CHINA NORTH VEHICLE CORPORATION LTD. (NORINCO MOTORS),"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,China,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-79-O6,401/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,
674.0,"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)",CHINA NORTH VEHICLE CORPORATION LTD. (NORINCO MOTORS),"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,China,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2017-11-15 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-261-O16,317/2017,2018-04-27 00:00:00,GOC-2018-O-16,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o16_0.rar,https://drive.google.com/file/d/1tpBBFg3ucAxJtv0wDp_mDTu7h3kfhQvj/view?usp=sharing,
1357.0,"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)",CHINA NORTH VEHICLE CORPORATION LTD. (NORINCO MOTORS),"CHINA NORTH VEHICLE CORPORATION, LTD. (NORINCO MOTORS)",,,,Sucursal de firma,Respuesta a solicitud de inscripción,,China,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2014-12-10 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,325 de 2014,2015-02-13 00:00:00,GOC-2015-O-5,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_5_2015.pdf,https://drive.google.com/file/d/1xFIp6n48zolysH4wK8g_UnMsSRvEOfgM/view?usp=sharing,
5.0,"EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-80-O6,402/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,"['4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95']"
