ORDEN,Nombre de la empresa extranjera,Nombre limpio definitivo,Nombre limpio viejo,Nombre del agente/representante cubano,,,Tipo,Objeto de la resolución,País casa matriz del agente,País casa matriz,Representante en Cuba,Perfil,"Prohibición de importar exportar, mayorismo y distribución mercancías ",Objeto,Anexo 1,Tipo de trámite,Resultado,Causa de denegación,Fecha de la resolución,Firmante nombre,Firmante cargo,Código resolución,No. de Resolución,Fecha Gaceta,Código gaceta,Link sitio gaceta,Link Drive PI
617,"3437558 CANADA INC. (CORSAN GROUP) en sustitución de CORSAN MARINE, INC.",3437558 CANADA INC. (CORSAN GROUP),"3437558 CANADA INC. (CORSAN GROUP) en sustitución de CORSAN MARINE, INC.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Canadá,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,25/9/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-69-O4,256/2017,26/2/2018,GOC-2018-O-4,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o4_0.rar,https://drive.google.com/file/d/10Ad4Y924B-0Fg0xbff8541TjokXJ-lA2/view?usp=sharing
23,"3L INTERNATIONAL, S.A.","3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,11/12/2020,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-98-O6,422/2020,18/1/2021,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing
702,"3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,6/12/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-330-O20,684/2017,25/5/2018,GOC-2018-O-20,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o20.pdf,https://drive.google.com/file/d/19HjOkGxeLhWrsm5Abnztz77Ldt7IF4j1/view?usp=sharing
1353,"3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2/12/2014,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,318 de 2014,13/2/2015,GOC-2015-O-5,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_5_2015.pdf,https://drive.google.com/file/d/1xFIp6n48zolysH4wK8g_UnMsSRvEOfgM/view?usp=sharing
2404,"3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.","3L INTERNACIONAL, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,Realización de actividades comerciales relacionadas con las mercancías que a nivel de capítulos se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.,Sí,Renovación,Aprobado,N.A.,21/11/2011,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,397 de 2011,1/12/2011,GOC-2011-O-40,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_040_2011.pdf,https://drive.google.com/file/d/1F15r8dHVkOPGhhrTWjwUCEkAQc1PMUg2/view?usp=sharing
608,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,,,,Oficina de representación de compañía,Respuesta a solicitud de inscripción,,Canadá,,,Sí,"Comercialización de productos y equipos para el sector ferroviario, transporte de productos industriales, hidráulicos, motores y repuestos, artículos de ferretería, insumos para la industria.",No,Inscripción,Aprobado,N.A.,1/3/2022,Rodrigo Malmierca Díaz,Ministro,GOC-2022-257-O25,94/2022,10/3/2022,GOC-2022-O-25,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2022-o25.pdf,https://drive.google.com/file/d/1E606GDVnlxYKrOTHsokMJKjWuqiPyiPP/view?usp=sharing
867,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Canadá,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el documento Anexo que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,26/9/2018,Antonio Luis Carricarte Corona,Ministro a.i.,GOC-2018-1114-O58,279/2018,20/12/2018,GOC-2018-O-58,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o58.pdf,https://drive.google.com/file/d/1UEubvpx3iH8WN9JoUQaiPpqD_xq9oXLL/view?usp=sharing
1433,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,,,,Compañía,Respuesta a solicitud de inscripción,,Canadá,,,Sí,"Realización de las actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,20/3/2015,Antonio Luis Carricarte Corona,Ministro a.i. MINCEX,N.A.,77 de 2015,8/4/2015,GOC-2015-O-14,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_14_2015.pdf,https://drive.google.com/file/d/1YozMUvzFPbwVSI7w5UznsPW9T1AhjlZR/view?usp=sharing
2477,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,510172 ONTARIO LIMITED,,,,Sucursal de firma,Respuesta a solicitud de inscripción,,Canadá,,,Sí,Realización de actividades comerciales relacionadas con las mercancías que a nivel de Capítulos se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.,No,Inscripción,Aprobado,N.A.,12/1/2010,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,20 de 2010,10/2/2010,GOC-2010-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_006_2010.pdf,https://drive.google.com/file/d/1JlcRbYvhFvUZlojBHA_pbR91K3sxJt7f/view?usp=sharing
2334,A.E.E. ZARUBEZHTSVETMET,A.E.E. ZARUBEZHTSVETMET,A.E.E. ZARUBEZHTSVETMET,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Rusia,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,10/6/2011,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,246 de 2011,15/7/2011,GOC-2011-O-23,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_023_2011.pdf,https://drive.google.com/file/d/1ChLcqmaugtEwWYub4x_yTTDqIwoJdz8c/view?usp=sharing
